y		x1		x2		x3
4.774511	0.830040	9.443009	6.699824
3.118490	0.821453	4.935101	2.446608
3.954935	1.083694	5.987439	7.274337
4.001297	2.509756	2.421467	7.754028
-1.383172	1.302732	0.148225	1.837505
5.369908	0.405411	5.623783	8.549778
0.708637	0.771861	0.241230	4.299699
3.941718	1.811561	5.677022	9.373264
4.347045	2.367098	5.283361	6.920458
3.282933	1.982661	9.981155	2.662522
1.382314	1.006881	3.531739	0.269511
4.859046	0.474116	5.479379	6.476684
1.424271	2.848820	0.630067	1.046099
5.750406	2.918706	6.749258	8.460516
3.524061	2.735169	7.746519	0.576663
1.138610	1.350765	1.504579	2.575453
4.466540	2.835502	4.502052	4.467348
3.161689	1.083957	9.031904	2.229608
4.481795	0.795319	4.207613	9.209645
2.540639	2.347938	5.626681	0.639411
3.994625	1.584529	6.096012	9.964204
4.633173	0.246310	2.251166	8.471755
1.364130	1.119422	1.835393	1.812595
4.966019	3.057696	6.506119	4.315261
4.552582	0.746165	9.976485	4.596593
3.681444	0.843398	5.279652	4.423974
0.631005	1.021773	0.288952	5.280052
3.729913	0.491360	8.893007	0.921381
1.995827	2.252895	0.700669	6.384106
5.521018	2.571847	8.581256	8.546155
3.152323	2.571926	8.129115	0.370479
4.151565	1.316395	9.197804	7.705778
3.183346	1.286016	3.591219	7.382046
5.364221	2.368312	9.179438	9.566782
2.341350	1.829946	4.145877	3.090207
3.378423	0.922308	2.211852	7.980644
4.122180	2.185690	4.354448	8.734511
3.437215	2.223881	5.445867	3.896309
2.931052	1.096760	7.775239	2.054516
4.870492	0.387114	9.377880	3.561440
3.560829	0.215724	1.618355	4.584127
1.098029	1.356150	5.063636	0.126170
3.355191	0.045393	2.001136	2.675169
3.095785	1.736066	6.715621	4.440360
0.436669	1.454947	2.529314	0.204303
6.125036	3.066453	7.068048	9.927052
4.185283	2.215615	9.296358	4.853778
0.526583	1.593072	0.400303	5.813522
3.893308	0.391562	2.298251	5.393758
2.620319	1.363367	3.604327	4.943318
4.960085	2.291411	8.002053	8.877961
-0.868695	1.254358	0.071816	6.458149
5.059221	0.089378	4.026563	7.034389
5.729849	2.597958	8.965423	9.251139
2.257414	1.571899	3.078616	4.422322
1.715398	1.920974	4.219968	1.020470
3.548958	2.190604	5.268983	4.762350
4.323379	2.798488	2.584400	6.606092
2.946216	1.083266	1.381470	9.948888
2.713956	1.825013	8.446296	2.027026
1.546258	0.996630	2.605083	0.938576
3.828867	0.475329	8.954751	1.051723
3.492842	2.003437	7.523437	4.381679
5.072457	0.194235	6.045490	5.371524
1.930849	1.010068	4.993003	0.528795
3.124077	2.479117	0.938290	8.493716
4.803485	3.031167	1.981116	9.697698
1.966593	1.111443	1.179559	5.656318
3.541385	0.318592	0.868517	8.114402
2.999437	1.151760	3.594094	5.565075
4.578131	3.098049	8.385887	2.031682
3.372126	1.480002	7.935458	5.082063
4.148000	0.664266	2.829425	8.054391
1.030968	1.678956	3.523324	0.515893
0.200904	1.147478	1.910835	0.034547
1.880821	1.195669	3.761958	1.581044
4.500087	1.139455	7.309782	9.804889
3.774127	1.092746	3.773554	8.956975
2.336075	1.704244	5.323135	2.555544
3.178813	1.751741	3.174119	8.579115
2.891610	2.022522	4.900378	3.576637
4.500571	2.526740	6.582580	5.069834
3.067432	0.808930	3.617117	3.235687
2.692883	0.630567	7.193825	0.148165
3.836251	2.428605	9.911367	1.872118
3.773238	2.086102	5.665506	6.366221
2.626426	1.813956	2.176420	7.305147
1.954743	1.587973	5.762401	1.375458
4.994989	2.415065	5.399869	9.992837
3.593726	1.678700	6.360224	7.238605
4.414380	2.364899	7.134379	5.769827
2.728722	1.335880	4.316399	4.528150
